Subject,Alpha,Algorithm,RMSE,PRD,SNR,AMSE
sub01,2.0,ILHSAF,0.12777036795528568,368.4056864146762,-5.676163745209108,0.020429409607937016
sub01,2.0,IPNLMS,0.07841339601381796,255.65694709824496,-0.6606240779279272,0.010740809131160574
sub01,2.0,LHSAF,0.2597558638333892,702.7262958751523,-11.689604847880194,0.07896610508585929
sub01,2.0,Llncosh,0.14415352439507365,408.5508343185444,-6.688083771238091,0.025353221804762287
sub01,2.0,NLMS,0.07849275289842284,255.21279865980296,-0.8601170532002925,0.010475314402889499
sub01,1.8,ILHSAF,0.12794719306851,433.06160050724657,-1.3775441637584014,0.02764749557008666
sub01,1.8,IPNLMS,0.08017779898442828,346.33208792521066,3.405088587933847,0.01817874925713968
sub01,1.8,LHSAF,0.26123872019994576,744.7920891865872,-7.420688847226272,0.08682880385412597
sub01,1.8,Llncosh,0.14451639859341558,468.5823267173012,-2.3968192429833275,0.032659509795564326
sub01,1.8,NLMS,0.081246710341983,346.8257002283957,3.0654753949734004,0.018028990415428662
sub01,1.6,ILHSAF,0.12807699416086843,660.1586441178738,4.69356393952283,0.06257082257423066
sub01,1.6,IPNLMS,0.08674533878519128,613.3531651076315,8.609968310226304,0.0541045159707439
sub01,1.6,LHSAF,0.2562342159767645,892.742135011689,-1.1849443868577176,0.11839316344311013
sub01,1.6,Llncosh,0.14483568376012276,684.8180145695719,3.6625858210180198,0.06766470595386817
sub01,1.6,NLMS,0.09266054002501722,618.2370084448155,7.753433863536212,0.05479564577429103
sub01,1.4,ILHSAF,0.12834878097157412,1440.582671194177,12.451126517042306,0.2939816099549176
sub01,1.4,IPNLMS,0.12476221050675386,1439.2640029231734,12.6600173791014,0.29319269328616804
sub01,1.4,LHSAF,0.2552414410882838,1564.9194315209234,6.630256075808557,0.3487803418943306
sub01,1.4,Llncosh,0.14530335532928573,1452.5290410928576,11.408589984904962,0.2992033797103127
sub01,1.4,NLMS,0.14486819076064855,1452.3879766634993,11.265586185530278,0.29857077608078364
sub03,2.0,ILHSAF,0.03338459950584521,80.29799434639433,3.476379837675179,0.0013886611778603406
sub03,2.0,IPNLMS,0.029892549331540653,71.95050496492662,4.372606932230358,0.0011475956597996606
sub03,2.0,LHSAF,0.11680340837851774,250.2699755049112,-6.401749353545367,0.016028927690920864
sub03,2.0,Llncosh,0.1743887341132578,369.96861788630883,-9.22628718656422,0.03688337891981973
sub03,2.0,NLMS,0.03430282644469522,80.68496507308468,3.1489663293846037,0.0014305082137059757
sub03,1.8,ILHSAF,0.033479572792933995,96.84976510378641,4.410405047920472,0.0020281560052560982
sub03,1.8,IPNLMS,0.030237543500203867,89.40107487728946,5.235817559739533,0.001791915646361938
sub03,1.8,LHSAF,0.11857592884327592,260.043900621954,-5.551264899862986,0.017163292677863685
sub03,1.8,Llncosh,0.17413932693727174,374.3745845296062,-8.255343947934026,0.03741026062414542
