Subject,Alpha,Algorithm,RMSE,PRD,SNR,AMSE
sub01,2.0,ILL,0.13412345358237346,358.09509336651377,-10.84798831071303,0.019369185723915737
sub01,2.0,IPNLMS,0.15573652246001404,415.75353031146443,-12.284786797593572,0.02548154649540819
sub01,2.0,NLMS,0.19060780764435506,509.15816835700986,-14.064427707193587,0.03806203378917314
sub01,1.8,ILL,0.15869174273428485,424.9822901917325,-12.402900865191338,0.026674997964685015
sub01,1.8,IPNLMS,0.2020098427986038,541.8541683729501,-14.642687381818021,0.04205680225405577
sub01,1.8,NLMS,0.2241591638339016,600.3737349611241,-15.523629899370796,0.05203562586809678
sub01,1.6,ILL,0.24390839777292897,655.9134595375031,-16.239309371299935,0.06180667359756842
sub01,1.6,IPNLMS,0.33624541209486214,905.6688186617952,-19.1264732947076,0.1150324663015439
sub01,1.6,NLMS,0.34084398962852575,916.5144719833899,-19.21911264529749,0.11881069956533248
sub01,1.4,ILL,0.5340788801578689,1439.5360935181684,-23.09300880956485,0.2936162924565435
sub01,1.4,IPNLMS,0.7468428555832645,2015.10988803186,-26.067611988102275,0.5662283564314542
sub01,1.4,NLMS,0.7403025558090123,1995.419445143515,-25.977002049177994,0.5580092301047009
sub03,2.0,ILL,0.03932737251421449,84.50310037237352,1.5350473501971478,0.0015672353843260492
sub03,2.0,IPNLMS,0.12426225170880364,272.2182462365365,-7.821137320525246,0.018501367584511316
sub03,2.0,NLMS,0.17279074198643313,381.5253008459226,-10.26063207883648,0.03962471503350694
sub03,1.8,ILL,0.04737303126355409,101.32228964879044,-0.06961877168971595,0.0022776485349350335
sub03,1.8,IPNLMS,0.1302741097876244,284.1777301892439,-8.415622318042129,0.019371926386937126
sub03,1.8,NLMS,0.1781050126983483,392.6566256723853,-10.611590226868056,0.04127225643724135
sub03,1.6,ILL,0.07265974956661214,154.56785987461177,-3.7323052400202474,0.005424322502952488
sub03,1.6,IPNLMS,0.15459598137575165,334.6553791369923,-10.150157768412775,0.025496248894504144
sub03,1.6,NLMS,0.1982810969185507,434.79121569302936,-11.820123230771507,0.047825090969545354
sub03,1.4,ILL,0.15797471213316766,335.04968996258896,-10.428208245400167,0.025962580343685086
sub03,1.4,IPNLMS,0.2550899052105168,546.118180838165,-14.680899938598795,0.06628360737493016
sub03,1.4,NLMS,0.28609665405501983,619.2051289940346,-15.488967215865753,0.08744713404947513
sub05,2.0,ILL,0.04123667252861435,155.32800825489034,-3.2243068568840436,0.001734826048887371
sub05,2.0,IPNLMS,0.10307195251897613,476.5346916018067,-10.446102056875612,0.012853984162032348
sub05,2.0,NLMS,0.1358882613555797,660.7266938712328,-12.658270465069311,0.023783507662719364
sub05,1.8,ILL,0.0527023746981653,190.90425940621873,-5.246321254388423,0.0028983205330948567
sub05,1.8,IPNLMS,0.11461356347502388,508.2107201130624,-11.661161405108832,0.014831494959513285
sub05,1.8,NLMS,0.14552986970983695,690.6194519926564,-13.43342196560654,0.026067615586676435
sub05,1.6,ILL,0.08716574823202383,303.28760399043796,-9.447155225149992,0.008210150018724143
sub05,1.6,IPNLMS,0.1536418680499757,628.2712342245215,-14.518024543511714,0.024746330296867118
sub05,1.6,NLMS,0.1806255727791462,800.9002050251215,-15.691652488379585,0.036318013321418624
sub05,1.4,ILL,0.19641408663795537,671.1521215829642,-16.408764779868402,0.04249634558081205
sub05,1.4,IPNLMS,0.2916477152836076,1084.715564404043,-20.132580921041615,0.08874984492709026
sub05,1.4,NLMS,0.31064158296237876,1224.0909454375426,-20.70153675232044,0.09980617048028347
sub07,2.0,ILL,0.06160475941954769,117.6687916153727,-1.325742245979696,0.003991464321451239
sub07,2.0,IPNLMS,0.10710447474968211,210.56493965717314,-6.26449829856534,0.011769144059992987
sub07,2.0,NLMS,0.10883119470607808,220.6087076205986,-6.429350522629581,0.012108825770265213
sub07,1.8,ILL,0.07279773899720068,138.96832483761287,-2.783957826970493,0.0055719719881687085
sub07,1.8,IPNLMS,0.1200914462855015,235.67290030468496,-7.262201724772346,0.014786852885960917
sub07,1.8,NLMS,0.12174580081714256,246.20008336483698,-7.417664123336683,0.015100571059983428
sub07,1.6,ILL,0.10908418042726878,209.35765005225625,-6.337501953265258,0.01243150952605996
sub07,1.6,IPNLMS,0.16742975565586027,325.0773958708254,-10.117728700269195,0.028941023385528356
sub07,1.6,NLMS,0.16862312896703427,338.59106027860236,-10.266097069502216,0.028831852856367742
sub07,1.4,ILL,0.23189548493311368,448.2521359706282,-12.928285445362981,0.05576676052386889
sub07,1.4,IPNLMS,0.34583925351109013,664.5822231366614,-16.369252389662613,0.12482222895644599
sub07,1.4,NLMS,0.34136244012160083,680.319651143111,-16.393754924137767,0.11811107422714584
